Time (Uganda),Battery,Humidity,Motion,Temperature
2025-10-04 20:52:50,3.072,68.8,1865,25.44
2025-10-04 20:53:21,3.074,69,1866,25.47
2025-10-04 21:00:03,3.073,69.1,1871,25.45
2025-10-04 21:02:54,3.073,69.1,1882,25.42
2025-10-04 21:03:21,3.073,69.1,1887,25.47
2025-10-04 21:08:04,3.074,69.2,1893,25.44
2025-10-04 21:11:10,3.073,69.2,1895,25.45
2025-10-04 21:13:21,3.074,69.3,1901,25.47
2025-10-04 21:14:44,3.074,69.2,1902,25.45
2025-10-04 21:23:06,3.073,69.6,1906,25.45
2025-10-04 21:23:21,3.073,69.6,1906,25.48
2025-10-04 21:25:20,3.074,69.7,1910,25.47
2025-10-04 21:28:18,3.074,69.6,1933,25.48
2025-10-04 21:30:21,3.074,69.7,1946,25.47
2025-10-04 21:32:32,3.074,69.7,1959,25.42
2025-10-04 21:33:21,3.072,69.7,1963,25.42
2025-10-04 21:35:36,3.073,69.8,1973,25.41
2025-10-04 21:43:21,3.073,70.2,1973,25.37
2025-10-04 21:45:46,3.074,70.3,1974,25.37
2025-10-04 21:48:17,3.074,70.4,1978,25.38
2025-10-04 21:50:29,3.073,70.4,1980,25.37
2025-10-04 21:52:45,3.074,70.4,1985,25.36
2025-10-04 21:53:20,3.074,70.5,1987,25.34
2025-10-04 21:54:48,3.072,70.5,1989,25.33
2025-10-04 21:58:06,3.073,70.5,1998,25.31
2025-10-04 22:00:08,3.075,70.5,2024,25.33
2025-10-04 22:02:11,3.072,70.3,2038,25.34
2025-10-04 22:03:20,3.072,70.3,2043,25.37
2025-10-04 22:04:31,3.073,70.3,2046,25.36
2025-10-04 22:08:49,3.074,70.3,2050,25.36
2025-10-04 22:11:18,3.073,70.3,2061,25.34
2025-10-04 22:13:19,3.073,70.5,2074,25.34
2025-10-04 22:13:26,3.074,70.5,2075,25.34
2025-10-04 22:17:31,3.073,70.4,2081,25.37
2025-10-04 22:19:34,3.073,70.7,2102,25.36
2025-10-04 22:21:48,3.074,70.6,2110,25.37
2025-10-04 22:23:20,3.076,70.6,2114,25.38
2025-10-04 22:24:06,3.072,70.6,2117,25.36
2025-10-04 22:26:15,3.073,70.7,2131,25.37
2025-10-04 22:32:20,3.073,70.6,2145,25.4
2025-10-04 22:33:20,3.074,70.6,2147,25.4
